competition,regime,scheme,n,brier_mean
ligue1,debut,A0_flat,213,0.26701769024208993
ligue1,debut,A1_halflife_30d,213,0.2760778334289154
ligue1,debut,A2_halflife_60d,213,0.26938199103636384
ligue1,debut,A3_halflife_90d,213,0.2680036203350287
ligue1,debut,A4_halflife_180d,213,0.2671958839877877
ligue1,debut,A5_halflife_365d,213,0.26702483962328255
ligue1,milieu,A0_flat,213,0.2653945800524868
ligue1,milieu,A1_halflife_30d,213,0.29610699115300393
ligue1,milieu,A2_halflife_60d,213,0.27784623106218537
ligue1,milieu,A3_halflife_90d,213,0.27244729740114965
ligue1,milieu,A4_halflife_180d,213,0.26805375053952735
ligue1,milieu,A5_halflife_365d,213,0.2664300697049967
ligue1,fin,A0_flat,212,0.27056447682661294
ligue1,fin,A1_halflife_30d,212,0.28637722262409515
ligue1,fin,A2_halflife_60d,212,0.27161893970460327
ligue1,fin,A3_halflife_90d,212,0.26856392192527384
ligue1,fin,A4_halflife_180d,212,0.26794679884509587
ligue1,fin,A5_halflife_365d,212,0.26891493834413405
liga,debut,A0_flat,250,0.2565418418925661
liga,debut,A1_halflife_30d,250,0.26503074479475563
liga,debut,A2_halflife_60d,250,0.2599732304201417
liga,debut,A3_halflife_90d,250,0.2585823316881006
liga,debut,A4_halflife_180d,250,0.25742786603118034
liga,debut,A5_halflife_365d,250,0.2569443983249869
liga,milieu,A0_flat,250,0.25073173305456825
liga,milieu,A1_halflife_30d,250,0.2659031571131394
liga,milieu,A2_halflife_60d,250,0.25231993718867
liga,milieu,A3_halflife_90d,250,0.24932095356858106
liga,milieu,A4_halflife_180d,250,0.24849225670954378
liga,milieu,A5_halflife_365d,250,0.24921769989742276
liga,fin,A0_flat,250,0.2545684313869051
liga,fin,A1_halflife_30d,250,0.2672981245307334
liga,fin,A2_halflife_60d,250,0.2595067631774394
liga,fin,A3_halflife_90d,250,0.2571681865046871
liga,fin,A4_halflife_180d,250,0.2551704681698109
liga,fin,A5_halflife_365d,250,0.25457618110073
premier_league,debut,A0_flat,250,0.2722675859528499
premier_league,debut,A1_halflife_30d,250,0.2816695636956319
premier_league,debut,A2_halflife_60d,250,0.27516506660110546
premier_league,debut,A3_halflife_90d,250,0.27364732522034557
premier_league,debut,A4_halflife_180d,250,0.2726421559874107
premier_league,debut,A5_halflife_365d,250,0.27236682209334423
premier_league,milieu,A0_flat,250,0.25735847502942394
premier_league,milieu,A1_halflife_30d,250,0.28688306868559665
premier_league,milieu,A2_halflife_60d,250,0.2687962780106589
premier_league,milieu,A3_halflife_90d,250,0.2625960405896801
premier_league,milieu,A4_halflife_180d,250,0.2585231380613034
premier_league,milieu,A5_halflife_365d,250,0.25757511701414815
premier_league,fin,A0_flat,250,0.26200404958000784
premier_league,fin,A1_halflife_30d,250,0.2813090240899377
premier_league,fin,A2_halflife_60d,250,0.2728888056756467
premier_league,fin,A3_halflife_90d,250,0.2692287637035562
premier_league,fin,A4_halflife_180d,250,0.2650290965381647
premier_league,fin,A5_halflife_365d,250,0.26320839324964423
